Location ID,Latitude,Longitude
448577,58.85,-134.38
445520,58.73,-126.46
437292,58.41,-111.02
752531,57.61,-94.5
321566,53.01,-129.46
361914,55.09,-118.74
341589,54.05,-105.46
776047,55.13,-93.34
315119,52.65,-132.02
310346,52.37,-121.66
299607,51.77,-106.98
740221,49.85,-95.1
845098,51.17,-90.18
1046549,51.57,-80.78
239126,47.45,-123.06
232033,46.85,-114.54
224490,46.21,-107.3
533307,44.97,-103.1
783640,46.69,-92.98
865593,47.05,-89.3
1193420,46.57,-75.58
1431076,55.57,-68.22
1555919,58.77,-64.06
1226790,56.33,-74.54
1181586,57.65,-75.94
1625045,53.49,-61.62
1677031,51.93,-59.58
1087307,54.01,-79.02
1730325,48.21,-57.14
1183616,46.85,-75.86
174490,42.09,-106.86
79986,33.65,-109.86
110152,36.65,-120.06
50262,29.61,-110.82
54683,30.29,-105.3
57634,30.77,-108.98
27366,25.41,-111.18
87438,34.45,-120.14
105949,36.25,-116.62
673788,33.21,-97.9
992161,38.05,-83.34
1058139,34.29,-80.26
702768,29.61,-96.78
1035313,27.13,-81.3
616254,32.57,-99.98
637108,28.93,-99.22
512296,25.57,-103.9
699226,32.89,-96.94
728791,29.57,-95.62
651785,29.45,-98.7
78865,33.53,-113.3
74875,33.09,-118.38
74429,33.01,-108.14
