Time(jday),FRVEG,TOTALVEG,TOTAL,SLA * 10000,GTWOLD,WTW,WLV,WST,WSO,BUFFER,TRNR,TMPA,CO2,NRVEGUNITS,TRUSS_1,TRUSS_2,TRUSS_3,TRUSS_4,TRUSS_5,TRUSS_6,TRUSS_7,TRUSS_8,TRUSS_9,TRUSS_10,TRUSS_11,TRUSS_12,TRUSS_13,TRUSS_14,TRUSS_15,TRUSS_16,TRUSS_17,TRUSS_18,TRUSS_19,TRUSS_20,TRUSS_21,TRUSS_22,TRUSS_23,TRUSS_24,TRUSS_25,TRUSS_26,TRUSS_27,TRUSS_28,TRUSS_29,TRUSS_30,TRUSS_31,TRUSS_32,TRUSS_33,TRUSS_34,TRUSS_35,WTRUSS_615,WVEGUNIT_1,WVEGUNIT_2,WVEGUNIT_3,WVEGUNIT_4,WVEGUNIT_5,WVEGUNIT_6,WVEGUNIT_7,WVEGUNIT_8,WVEGUNIT_9,WVEGUNIT_10,WVEGUNIT_11,WVEGUNIT_12,WVEGUNIT_13,WVEGUNIT_14,WVEGUNIT_15,WVEGUNIT_16
32,2.58,0.93,1.47,353.0,0.0,21.15,12.3,4.42,0.07,0,1.16,22.04,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
33,2.56,0.93,1.56,352.76,0.0,21.15,12.3,4.42,0.07,0,1.33,22.04,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,2.55,0.93,1.66,352.5,0.0,21.15,12.3,4.42,0.07,0,1.49,22.04,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,2.53,0.93,1.78,352.21,0.0,21.15,12.3,4.42,0.07,0,1.65,22.04,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.52,0.93,1.91,351.89,0.0,21.15,12.3,4.42,0.07,0,1.82,22.04,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,2.5,0.93,2.06,351.55,0.0,21.15,12.3,4.42,0.07,0,1.98,22.04,23.0,4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,2.48,1.1,2.82,351.18,0.0,21.15,12.3,4.42,0.07,0,2.14,22.04,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39,2.47,1.1,3.09,350.79,0.0,21.15,12.3,4.42,0.07,0,2.31,22.04,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40,2.45,1.1,3.38,350.37,0.0,21.15,12.3,4.42,0.07,0,2.47,22.04,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41,2.44,1.1,3.71,349.92,0.0,21.15,12.3,4.42,0.07,0,2.63,22.04,23.0,5,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,3.35,1.67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
