Time(jday),AVRAD(MJ/m2/d),Temperature(oC),CO2,FGMAX(mgCO2/m2/s),EFF(mgCO2/J),SLA*10000,LAI,GPHOT (gCH2O/m2/d),RGR_AV(1/d),MAINT(gCH2O/m2/d),GTW(g/m2/d),WTW(g/m2),WTW-WRT(g/m2),WLV(g/m2),WLV+WST(g/m2),WSO(g/m2),WRT(g/m2),WLVE(g/m2),WSTE(g/m2),WSOE(g/m2),DPARDF(MJ/m2/d),DPARDR(MJ/m2/d)
32,16.1,22.04,23.0,0.06,0.0,353.0,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.15,2.25,2.17
33,18.25,22.04,23.0,0.06,0.0,352.76,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.22,2.57,2.42
34,18.39,22.04,23.0,0.06,0.0,352.5,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.3,2.56,2.51
35,18.35,22.04,23.0,0.06,0.0,352.21,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.38,2.53,2.58
36,16.65,22.04,23.0,0.06,0.0,351.89,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.45,2.2,2.53
37,17.73,22.04,23.0,0.06,0.0,351.55,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.53,2.39,2.54
38,18.37,22.04,23.0,0.06,0.0,351.18,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.6,2.45,2.73
39,18.65,22.04,23.0,0.06,0.0,350.79,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.67,2.46,2.53
40,18.87,22.04,23.0,0.06,0.0,350.37,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.75,2.48,2.63
41,19.17,22.04,23.0,0.06,0.0,349.92,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.82,2.48,2.73
42,19.38,22.04,23.0,0.06,0.0,349.46,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.9,2.49,2.69
43,19.57,22.04,23.0,0.06,0.0,348.96,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.97,2.48,2.78
44,19.81,22.04,23.0,0.06,0.0,348.45,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.05,2.49,2.66
45,20.07,22.04,23.0,0.06,0.0,347.9,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.12,2.5,2.76
46,16.9,22.04,23.0,0.06,0.0,347.34,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.2,2.14,2.39
47,20.09,22.04,23.0,0.06,0.0,346.75,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.27,2.78,2.9
48,17.85,22.04,23.0,0.06,0.0,346.13,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.35,2.45,2.62
49,20.63,22.04,23.0,0.06,0.0,345.5,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.42,2.82,3.12
50,19.02,22.04,23.0,0.06,0.0,344.83,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.5,2.61,2.93
51,19.9,22.04,23.0,0.06,0.0,344.15,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.57,2.68,3.17
52,17.37,22.04,23.0,0.06,0.0,343.44,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.65,2.35,2.63
53,18.01,22.04,23.0,0.06,0.0,342.71,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.72,2.41,2.83
54,11.18,22.04,23.0,0.06,0.0,341.96,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.8,1.82,1.4
55,15.35,22.04,23.0,0.06,0.0,341.18,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.87,2.06,2.45
56,10.0,22.04,23.0,0.06,0.0,340.38,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.95,1.81,1.17
57,21.4,22.04,23.0,0.06,0.0,339.56,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.02,2.71,3.54
58,21.21,22.04,23.0,0.06,0.0,338.72,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.1,2.64,3.62
59,22.1,22.04,23.0,0.06,0.0,337.86,0.42,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.17,2.74,3.81
60,10.85,22.04,23.0,0.06,0.0,336.97,0.41,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.25,2.1,1.16
61,22.31,22.04,23.0,0.06,0.0,336.06,0.41,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.33,2.71,4.02
62,22.48,22.04,23.0,0.06,0.0,335.14,0.41,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.4,2.7,4.13
