TRNR,DAY,AVTEMP,IAGE
1,49,0.4478701825557809,2465
2,62,0.46779661016949153,2360
3,68,0.48378615249780893,2282
4,74,0.5009074410163339,2204
5,80,0.5192850423330198,2126
6,86,0.5390625,2048
7,92,0.5604060913705584,1970
8,98,0.5835095137420718,1892
9,104,0.6085997794928335,1814
10,110,0.6359447004608295,1736
11,115,0.6606822262118492,1671
12,121,0.6930320150659134,1593
13,127,0.7287128712871287,1515
14,133,0.7682672233820459,1437
15,139,0.8123620309050773,1359
16,145,0.8618266978922716,1281
17,151,0.9177057356608479,1203
18,157,0.9813333333333333,1125
19,163,1.0464454976303317,1055
20,169,1.1299897645854657,977
21,174,1.2105263157894737,912
22,180,1.3237410071942446,834
23,186,1.4603174603174602,756
24,192,1.6283185840707965,678
25,198,1.84,600
26,204,2.1149425287356323,522
27,210,2.4424778761061945,452
28,216,2.6161137440758293,422
29,222,2.816326530612245,392
30,227,3.008174386920981,367
31,233,3.2759643916913945,337
32,239,3.596091205211726,307
Avg final truss DW 1-30,0.0
Final truss number,40
Avg truss DW,0.00010714285714285715
