Time(jday),AVRAD(MJ/m2/d),Temperature(oC),CO2,FGMAX(mgCO2/m2/s),EFF(mgCO2/J),SLA*10000,LAI,GPHOT (gCH2O/m2/d),RGR_AV(1/d),MAINT(gCH2O/m2/d),GTW(g/m2/d),WTW(g/m2),WTW-WRT(g/m2),WLV(g/m2),WLV+WST(g/m2),WSO(g/m2),WRT(g/m2),WLVE(g/m2),WSTE(g/m2),WSOE(g/m2),DPARDF(MJ/m2/d),DPARDR(MJ/m2/d)
2,2.7,23.0,25.0,0.06,0.0,348.18,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.15,0.6,0.07
3,2.15,23.0,25.0,0.06,0.0,348.71,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.22,0.65,0.01
4,3.11,23.0,25.0,0.06,0.0,349.21,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.3,0.78,0.1
5,4.71,23.0,25.0,0.06,0.0,349.69,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.38,0.83,0.34
6,6.72,23.0,25.0,0.06,0.0,350.15,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.45,1.21,0.4
7,4.96,23.0,25.0,0.06,0.0,350.58,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.53,0.85,0.35
8,8.72,23.0,25.0,0.06,0.0,350.99,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.6,1.41,0.72
9,4.17,23.0,25.0,0.06,0.0,351.37,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.67,0.93,0.13
10,2.07,23.0,25.0,0.06,0.0,351.72,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.75,0.47,0.04
11,1.9,23.0,25.0,0.06,0.0,352.05,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.82,0.59,0.01
12,6.02,23.0,25.0,0.06,0.0,352.35,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.9,0.99,0.54
13,9.5,23.0,25.0,0.06,0.0,352.63,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.97,1.47,0.84
14,6.04,23.0,25.0,0.06,0.0,352.89,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.05,0.95,0.53
15,5.45,23.0,25.0,0.06,0.0,353.11,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.12,0.96,0.44
16,10.08,23.0,25.0,0.06,0.0,353.32,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.2,1.52,0.95
17,6.83,23.0,25.0,0.06,0.0,353.49,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.27,1.01,0.7
18,3.1,23.0,25.0,0.06,0.0,353.64,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.35,0.8,0.13
19,6.24,23.0,25.0,0.06,0.0,353.76,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.42,0.93,0.63
20,10.59,23.0,25.0,0.06,0.0,353.86,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.5,1.55,1.1
21,8.04,23.0,25.0,0.06,0.0,353.93,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.57,1.33,0.66
22,5.62,23.0,25.0,0.06,0.0,353.98,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.65,0.92,0.57
23,3.48,23.0,25.0,0.06,0.0,354.0,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.72,0.89,0.12
24,8.78,23.0,25.0,0.06,0.0,353.99,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.8,1.45,0.89
25,7.01,23.0,25.0,0.06,0.0,353.96,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.87,1.29,0.74
26,11.51,23.0,25.0,0.06,0.0,353.9,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.95,1.8,1.37
27,11.84,23.0,25.0,0.06,0.0,353.82,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.02,1.84,1.44
28,11.57,23.0,25.0,0.06,0.0,353.71,0.44,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.1,1.78,1.45
29,6.99,23.0,25.0,0.06,0.0,353.57,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.17,1.27,0.72
30,3.26,23.0,25.0,0.06,0.0,353.41,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.25,0.92,0.11
31,7.13,23.0,25.0,0.06,0.0,353.22,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.33,1.18,0.84
32,5.24,23.0,25.0,0.06,0.0,353.0,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.4,1.13,0.46
33,8.27,23.0,25.0,0.06,0.0,352.76,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.48,1.32,1.08
34,3.78,23.0,25.0,0.06,0.0,352.5,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,2.55,1.0,0.18
35,5.33,23.0,25.0,0.06,0.0,352.21,0.43,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,2.63,1.18,0.45
36,12.61,23.0,25.0,0.06,0.0,351.89,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,2.7,1.8,1.96
37,8.24,23.0,25.0,0.06,0.0,351.55,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,2.78,1.2,1.28
38,11.4,23.0,25.0,0.06,0.0,351.18,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,2.85,1.73,1.82
39,13.32,23.0,25.0,0.06,0.0,350.79,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,2.93,1.84,1.94
40,10.0,23.0,25.0,0.06,0.0,350.37,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,3.0,1.49,1.54
41,6.08,23.0,25.0,0.06,0.0,349.92,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,3.08,1.27,0.61
42,12.06,23.0,25.0,0.06,0.0,349.46,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,3.15,1.71,1.65
43,12.92,23.0,25.0,0.06,0.0,348.96,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,8.2,4.42,3.23,1.69,2.05
44,4.63,23.0,25.0,0.06,0.0,348.45,0.29,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,4.1,4.42,3.3,1.3,0.17
45,7.97,23.0,25.0,0.06,0.0,347.9,0.14,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,4.1,4.42,3.38,1.53,0.69
46,6.82,23.0,25.0,0.06,0.0,347.34,0.14,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,4.1,4.42,3.45,1.15,0.87
47,12.87,23.0,25.0,0.06,0.0,346.75,0.14,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,4.1,4.42,3.53,1.75,1.81
