TRNR,DAY,AVTEMP,IAGE
1,261,5.810526315789474,190
2,266,5.967567567567568,185
3,272,6.167597765363128,179
4,278,6.381502890173411,173
5,284,6.610778443113772,167
6,290,6.857142857142857,161
7,296,7.122580645161291,155
8,302,7.409395973154362,149
9,308,7.72027972027972,143
10,314,8.058394160583942,137
11,319,8.363636363636363,132
12,325,8.761904761904763,126
13,331,9.2,120
14,337,9.68421052631579,114
15,343,10.222222222222221,108
16,349,10.823529411764707,102
17,355,11.5,96
Avg final truss DW 1-30,0.0
Final truss number,25
Avg truss DW,0.00017142857142857145
