Time(jday),AVRAD(MJ/m2/d),Temperature(oC),CO2,FGMAX(mgCO2/m2/s),EFF(mgCO2/J),SLA*10000,LAI,GPHOT (gCH2O/m2/d),RGR_AV(1/d),MAINT(gCH2O/m2/d),GTW(g/m2/d),WTW(g/m2),WTW-WRT(g/m2),WLV(g/m2),WLV+WST(g/m2),WSO(g/m2),WRT(g/m2),WLVE(g/m2),WSTE(g/m2),WSOE(g/m2),DPARDF(MJ/m2/d),DPARDR(MJ/m2/d)
214,19.02,23.0,23.0,0.06,0.0,178.89,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.15,3.06,3.6
215,26.26,23.0,23.0,0.06,0.0,179.11,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.22,3.04,6.06
216,25.6,23.0,23.0,0.06,0.0,179.37,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.3,2.9,5.91
217,20.96,23.0,23.0,0.06,0.0,179.65,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.38,3.13,4.15
218,15.54,23.0,23.0,0.06,0.0,179.95,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.45,2.7,2.63
219,25.68,23.0,23.0,0.06,0.0,180.28,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.53,3.05,5.71
220,20.92,23.0,23.0,0.06,0.0,180.63,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.6,3.16,3.99
221,20.97,23.0,23.0,0.06,0.0,181.01,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.67,3.15,3.99
222,21.08,23.0,23.0,0.06,0.0,181.42,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.75,3.34,3.73
223,22.75,23.0,23.0,0.06,0.0,181.85,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.82,3.19,4.47
224,26.35,23.0,23.0,0.06,0.0,182.31,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.9,2.69,6.28
225,15.59,23.0,23.0,0.06,0.0,182.79,0.22,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,0.97,2.61,2.67
226,22.14,23.0,23.0,0.06,0.0,183.29,0.23,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.05,2.92,4.52
227,20.45,23.0,23.0,0.06,0.0,183.82,0.23,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.12,3.01,3.85
228,27.12,23.0,23.0,0.06,0.0,184.38,0.23,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.2,2.79,6.4
229,6.18,23.0,23.0,0.06,0.0,184.95,0.23,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.27,2.04,0.02
230,19.32,23.0,23.0,0.06,0.0,185.56,0.23,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.35,2.72,3.76
231,24.79,23.0,23.0,0.06,0.0,186.18,0.23,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.42,2.69,5.62
232,26.51,23.0,23.0,0.06,0.0,186.83,0.23,0.0,0.0,0.0,0.0,21.15,16.73,12.3,16.73,0.07,4.42,12.3,4.42,1.5,2.73,6.15
