TRNR,DAY,AVTEMP,IAGE
1,116,30.0,38
2,120,30.0,38
3,125,30.0,38
4,130,30.0,38
5,135,30.0,38
6,140,30.0,38
7,144,30.0,38
8,149,30.0,38
9,154,30.0,38
10,159,30.0,38
11,164,30.0,38
12,168,30.0,38
13,173,30.0,38
14,178,30.0,38
15,183,30.0,38
16,188,30.0,38
17,192,30.0,38
18,197,30.0,38
19,202,30.0,38
20,207,30.0,38
21,212,30.0,38
22,216,30.0,38
23,221,30.0,38
24,226,30.0,38
25,231,30.0,38
Avg final truss DW 1-30,0.0
Final truss number,33
Avg truss DW,0.00012987012987012987
